conta_ID,ID,Data,Valor,Descrição,Categoria,
4563108796,20230418002,2023-04-18,-128.08,DA  VIVO RJ 11171624632,Telefone,
4563108796,20230517002,2023-05-17,-128.08,DA  VIVO RJ 11171624632,Telefone,
4563108796,20230619001,2023-06-19,-128.08,DA  VIVO RJ 11171624632,Telefone,
4563108796,20230217002,2023-02-17,-87.81,DA  VIVO RJ 11171624632,Telefone,
4563108796,20231218002,2023-12-18,-151.36,DA  VIVO RJ 11171624632,Telefone,
4563108796,20240117001,2024-01-17,-151.36,DA  VIVO RJ 11171624632,Telefone,
4563108796,20240221002,2024-02-21,-151.36,DA  VIVO RJ 11171624632,Telefone,
4563108796,20240318005,2024-03-18,-151.36,DA  VIVO RJ 11171624632,Telefone,
4563108796,20240417001,2024-04-17,-151.36,DA  VIVO RJ 11171624632,Telefone,
4563108796,20240517002,2024-05-17,-151.36,DA  VIVO RJ 11171624632,Telefone,
4563108796,20240618007,2024-06-18,-151.36,DA  VIVO RJ 11171624632,Telefone,
4563108796,20240717002,2024-07-17,-151.36,DA  VIVO RJ 11171624632,Telefone,
4563108796,20240819003,2024-08-19,-161.36,DA  VIVO RJ 11171624632,Telefone,
4563108796,20240918004,2024-09-18,-161.36,DA  VIVO RJ 11171624632,Telefone,
4563108796,20230301002,2023-03-01,-39.9,DEB AUTOR NETFLIX COM,TV,
4563108796,20230329002,2023-03-29,-39.9,DEB AUTOR NETFLIX COM,TV,
4563108796,20230929002,2023-09-29,-39.9,DEB AUTOR NETFLIX COM,TV,
4563108796,20231030003,2023-10-30,-39.9,DEB AUTOR NETFLIX COM,TV,
4563108796,20230130002,2023-01-30,-39.9,DEB AUTOR NETFLIX COM,TV,
4563108796,20230731003,2023-07-31,-39.9,DEB AUTOR NETFLIX COM,TV,
4563108796,20231129001,2023-11-29,-39.9,DEB AUTOR NETFLIX COM,TV,
4563108796,20230829002,2023-08-29,-39.9,DEB AUTOR NETFLIX COM,TV,
4563108796,20230502003,2023-05-02,-39.9,DEB AUTOR NETFLIX COM,TV,
4563108796,20230529003,2023-05-29,-39.9,DEB AUTOR NETFLIX COM,TV,
4563108796,20230629001,2023-06-29,-39.9,DEB AUTOR NETFLIX COM,TV,
4563108796,20240102003,2024-01-02,-39.9,DEB AUTOR NETFLIX COM,TV,
